source_id	category	relative_path	extension	size_bytes
SRC-0001	CVs	CVs/CV_Gabriel Fernandes Silva.pdf	pdf	943959
SRC-0002	CVs	CVs/Currículo do Sistema de Currículos Lattes (Bruno de Pinho Alho).pdf	pdf	809394
SRC-0003	CVs	CVs/Currículo do Sistema de Currículos Lattes (Mario de Souza Reis Junior).pdf	pdf	2288642
SRC-0004	CVs	CVs/Currículo do Sistema de Currículos Lattes (Paula de Oliveira Ribeiro Alho).pdf	pdf	1551182
SRC-0005	CVs	CVs/Currículo do Sistema de Currículos Lattes (Pedro Jorge von Ranke Perlingeiro).pdf	pdf	3756676
SRC-0006	CVs	CVs/Currículo do Sistema de Currículos Lattes (Vinícius Gomes de Paula).pdf	pdf	1240192
SRC-0007	CVs	CVs/Currículo do Sistema de Currículos Lattes (Vinícius da Silva Ramos de Sousa).pdf	pdf	4497390
SRC-0008	artigos em andamento	artigos em andamento/Quantum_Information_Geometry_of_AC_Magnetic_Susceptibility-2.pdf	pdf	132417
SRC-0009	artigos em andamento	artigos em andamento/artigo_Fe_butterfly.pdf	pdf	291103
SRC-0010	artigos em andamento	artigos em andamento/artigo_fe_pap_bce_sco.pdf	pdf	694412
SRC-0011	artigos publicados	artigos publicados/1-s2.0-S0022286022020610-main.pdf	pdf	1568516
SRC-0012	artigos publicados	artigos publicados/2208.14548v2.pdf	pdf	8865015
SRC-0013	artigos publicados	artigos publicados/2304.05353v1.pdf	pdf	1002742
SRC-0014	artigos publicados	artigos publicados/2406.10409v2.pdf	pdf	2775149
SRC-0015	artigos publicados	artigos publicados/2412.18684v1.pdf	pdf	1087077
SRC-0016	artigos publicados	artigos publicados/2502.19561v3 copy.pdf	pdf	3930803
SRC-0017	artigos publicados	artigos publicados/2502.19561v3.pdf	pdf	3930803
SRC-0018	artigos publicados	artigos publicados/2605.19941v1.pdf	pdf	511678
SRC-0019	artigos publicados	artigos publicados/Screenshot 2026-06-28 at 09.34.03.png	png	480103
SRC-0020	artigos publicados	artigos publicados/magnetic-anisotropy-and-spin-coupling-in-a-cobalt%28ii%29-dimer-with-bioinspired-bridges.pdf	pdf	3366952
SRC-0021	artigos publicados	artigos publicados/paula/2018_PRB_Pedro.pdf	pdf	496532
SRC-0022	artigos publicados	artigos publicados/paula/APL 2017 von Ranke.pdf	pdf	446745
SRC-0023	artigos publicados	artigos publicados/paula/CrI2(depe)2 JAP.pdf	pdf	958782
SRC-0024	artigos publicados	artigos publicados/paula/JAP_SCO.pdf	pdf	1510349
SRC-0025	artigos publicados	artigos publicados/paula/JMMM_SCO.pdf	pdf	823473
SRC-0026	artigos publicados	artigos publicados/paula/JMMM_SCO_mag.pdf	pdf	491831
SRC-0027	artigos publicados	artigos publicados/paula/JMMM_[Fe(phen)2(NCS)2].pdf	pdf	476402
SRC-0028	artigos publicados	artigos publicados/paula/SSC_2021.pdf	pdf	971665
SRC-0029	artigos publicados	artigos publicados/paula/Spin Crossover_JAC 749 (2018) 556.pdf	pdf	551830
SRC-0030	artigos publicados	artigos publicados/paula/pssb.202100108_not final version.pdf	pdf	548722
SRC-0031	formulario cnpq	formulario cnpq/CNPq formulario.pdf	pdf	150521
SRC-0032	projetos antigos	projetos antigos/*Paula Ribeiro 2025.pdf	pdf	322148
SRC-0033	projetos antigos	projetos antigos/CAPES_LAFMAT.pdf	pdf	353393
SRC-0034	projetos antigos	projetos antigos/PDR_FAPERJ_2022_VGP.pdf	pdf	702207
SRC-0035	projetos antigos	projetos antigos/Plano de Pesquisa de Estágio Sanduíche CAPES_PDSE 2025 copy.pdf	pdf	142526
SRC-0036	projetos antigos	projetos antigos/Universal_CNPQ_2024_final_submissao.pdf	pdf	504296
SRC-0037	projetos antigos	projetos antigos/Universidade Federal Fluminense Mail - Resultados - Doutorado Sanduíche.pdf	pdf	1480687
SRC-0038	projetos antigos	projetos antigos/Universidade Federal Fluminense Mail - Tetramero de Ferro - MCE.pdf	pdf	1684437
SRC-0039	CVs	CVs/Currículo do Sistema de Currículos Lattes (Alan Fillipe de Souza Almeida).pdf	pdf	322747
SRC-0040	CVs	CVs/Currículo do Sistema de Currículos Lattes (Clebson dos Santos Cruz).pdf	pdf	440158
SRC-0041	CVs	CVs/Currículo do Sistema de Currículos Lattes (Gabriel Batista de Souza).pdf	pdf	733436
SRC-0042	CVs	CVs/Currículo do Sistema de Currículos Lattes (Gabriel Fernandes Silva).pdf	pdf	5360532
SRC-0043	CVs	CVs/Currículo do Sistema de Currículos Lattes (João Vitor Almeida Tavares Cruz).pdf	pdf	484757
SRC-0044	CVs	CVs/Currículo do Sistema de Currículos Lattes (Maron Freitas Anka).pdf	pdf	1328367
SRC-0045	CVs	CVs/Currículo do Sistema de Currículos Lattes (Tatiana de Jesus Braga).pdf	pdf	1271382
SRC-0046	CVs	CVs/Currículo do Sistema de Currículos Lattes (Wanisson Silva Santana).pdf	pdf	1593236
SRC-0047	CVs	CVs/Equipe Universal 2026 - Página1.pdf	pdf	71126
SRC-0048	CVs	CVs/dosSantos_CV_October 2021_1.pdf	pdf	267580
SRC-0049	CVs	CVs/Paula Cristina Ferreira da Silva Brandão (CD12-EC18-AB67) | CIÊNCIAVITAE.pdf	pdf	332285
